date,ph,ResultMeasure/MeasureUnitCode,lat,long,MonitoringLocationIdentifier
2012-05-29,34.21,ppth,27.4505833,-80.3253888,21FLWPB_WQX-21042457
2004-03-30,35.7,ppth      ,27.4793333,-80.3125,21FLSEAS-70SEAS040
2012-01-25,33.39,ppth,27.4729167,-80.3384167,21FLWPB_WQX-27020557
2004-08-12,32,ppth      ,27.517,-80.326,21FLSEAS-70SEAS110
2004-10-29,32.5,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-07-25,33.5,ppth      ,27.5093333,-80.3245,21FLSEAS-70SEAS307
2006-02-27,34.1,ppth      ,27.5055,-80.334,21FLSEAS-70SEAS090
2006-07-25,33.3,ppth      ,27.5278333,-80.327666,21FLSEAS-70SEAS123
2004-11-12,32.5,ppth      ,27.44,-80.31,21FLMRC-IR3721
2004-10-24,32.4,ppth      ,27.42,-80.31,21FLMRC-IR3731
2004-01-30,32.4,ppth      ,27.44,-80.31,21FLMRC-IR3721
2004-03-30,35.7,ppth      ,27.4793333,-80.3125,21FLSEAS-70SEAS040
2004-04-13,32,ppth      ,27.46,-80.34,21FLMRC-IR3745
2004-01-04,32,ppth      ,27.42,-80.31,21FLMRC-IR3731
2004-03-27,32,ppth      ,27.46,-80.34,21FLMRC-IR3745
2004-01-09,32,ppth      ,27.44,-80.31,21FLMRC-IR3721
2004-08-17,32,ppth      ,27.46,-80.34,21FLMRC-IR3745
2004-08-12,31.6,ppth      ,27.44,-80.31,21FLMRC-IR3721
2004-03-10,31.6,ppth      ,27.49,-80.34,21FLMRC-IR3660
2004-02-23,31.5,ppth      ,27.46,-80.34,21FLMRC-IR3745
2004-02-14,31.5,ppth      ,27.46,-80.34,21FLMRC-IR3745
2004-12-05,31,ppth      ,27.47,-80.29,21FLMRC-IR3710
2004-03-15,31,ppth      ,27.46,-80.34,21FLMRC-IR3745
2004-11-19,30.8,ppth      ,27.44,-80.31,21FLMRC-IR3721
2004-02-06,30.6,ppth      ,27.44,-80.31,21FLMRC-IR3721
2004-11-24,30.6,ppth      ,27.49,-80.34,21FLMRC-IR3660
2004-11-05,30.5,ppth      ,27.44,-80.31,21FLMRC-IR3721
2004-05-26,38.1,ppth      ,27.4793333,-80.3125,21FLSEAS-70SEAS040
2004-05-26,38.7,ppth      ,27.5351666,-80.337666,21FLSEAS-70SEAS140
2004-05-26,38.6,ppth      ,27.5508333,-80.331166,21FLSEAS-70SEAS160
2004-05-26,39.9,ppth      ,27.517,-80.326,21FLSEAS-70SEAS110
